PX409-USBH - 518951,
Units:,mbar
Custom Scalar:,none
Custom Offset:,none
Start:,2023-02-16 03:52:59.247
End:,2023-02-16 03:53:10.564
Count:,59
Low:,-14.3382034301758
High:,-14.3269939422607

Time,Value
2023-02-16 03:52:59.247 ,-14.3371391296387
2023-02-16 03:52:59.442 ,-14.3352890014648
2023-02-16 03:52:59.637 ,-14.3345327377319
2023-02-16 03:52:59.832 ,-14.3352327346802
2023-02-16 03:53:00.027 ,-14.3356256484985
2023-02-16 03:53:00.222 ,-14.3356256484985
2023-02-16 03:53:00.417 ,-14.337082862854
2023-02-16 03:53:00.613 ,-14.3369989395142
2023-02-16 03:53:00.808 ,-14.3364105224609
2023-02-16 03:53:01.003 ,-14.3381195068359
2023-02-16 03:53:01.198 ,-14.3371667861938
2023-02-16 03:53:01.393 ,-14.3365783691406
2023-02-16 03:53:01.588 ,-14.3367748260498
2023-02-16 03:53:01.783 ,-14.3373346328735
2023-02-16 03:53:01.978 ,-14.3382034301758
2023-02-16 03:53:02.174 ,-14.3373069763184
2023-02-16 03:53:02.369 ,-14.3366622924805
2023-02-16 03:53:02.564 ,-14.3336353302002
2023-02-16 03:53:02.759 ,-14.3310012817383
2023-02-16 03:53:02.954 ,-14.3289556503296
2023-02-16 03:53:03.149 ,-14.3277225494385
2023-02-16 03:53:03.344 ,-14.32741355896
2023-02-16 03:53:03.539 ,-14.3269939422607
2023-02-16 03:53:03.735 ,-14.3283672332764
2023-02-16 03:53:03.930 ,-14.3280868530273
2023-02-16 03:53:04.125 ,-14.3294038772583
2023-02-16 03:53:04.320 ,-14.3296842575073
2023-02-16 03:53:04.515 ,-14.3301048278809
2023-02-16 03:53:04.710 ,-14.331337928772
2023-02-16 03:53:04.905 ,-14.3298797607422
2023-02-16 03:53:05.100 ,-14.3308610916138
2023-02-16 03:53:05.295 ,-14.3306646347046
2023-02-16 03:53:05.491 ,-14.3293476104736
2023-02-16 03:53:05.686 ,-14.3311414718628
2023-02-16 03:53:05.881 ,-14.3308610916138
2023-02-16 03:53:06.076 ,-14.3289833068848
2023-02-16 03:53:06.271 ,-14.3286190032959
2023-02-16 03:53:06.466 ,-14.3280582427979
2023-02-16 03:53:06.661 ,-14.3279466629028
2023-02-16 03:53:06.856 ,-14.3284511566162
2023-02-16 03:53:07.052 ,-14.3290395736694
2023-02-16 03:53:07.247 ,-14.3280305862427
2023-02-16 03:53:07.442 ,-14.3273582458496
2023-02-16 03:53:07.637 ,-14.3287029266357
2023-02-16 03:53:07.832 ,-14.3288431167603
2023-02-16 03:53:08.027 ,-14.3301048278809
2023-02-16 03:53:08.222 ,-14.331449508667
2023-02-16 03:53:08.417 ,-14.3304967880249
2023-02-16 03:53:08.613 ,-14.3327112197876
2023-02-16 03:53:08.808 ,-14.3331031799316
2023-02-16 03:53:09.003 ,-14.3320379257202
2023-02-16 03:53:09.198 ,-14.3332433700562
2023-02-16 03:53:09.393 ,-14.3325986862183
2023-02-16 03:53:09.588 ,-14.3319826126099
2023-02-16 03:53:09.783 ,-14.3336639404297
2023-02-16 03:53:09.978 ,-14.3349533081055
2023-02-16 03:53:10.173 ,-14.335205078125
2023-02-16 03:53:10.369 ,-14.3351774215698
2023-02-16 03:53:10.564 ,-14.3332433700562
